Year,Nominee,Film,Role
2000 (7th),Benicio del Toro ,Traffic,Javier Rodriguez
2000 (7th),Jamie Bell,Billy Elliot,Billy Elliot
2000 (7th),Russell Crowe ,Gladiator,Maximus Decimus Meridius
2000 (7th),Tom Hanks ,Cast Away,Chuck Noland
2000 (7th),Geoffrey Rush ,Quills,Marquis de Sade
2001 (8th),Russell Crowe ,A Beautiful Mind,John Forbes Nash Jr.
2001 (8th),Kevin Kline,Life as a House,George Monroe
2001 (8th),Sean Penn ,I Am Sam,Sam Dawson
2001 (8th),Denzel Washington ,Training Day,Det. Alonzo Harris
2001 (8th),Tom Wilkinson ,In the Bedroom,Matt Fowler
2002 (9th),Daniel Day-Lewis ,Gangs of New York,William “Bill the Butcher” Cutting
2002 (9th),Adrien Brody ,The Pianist,Władysław “Wladek” Szpilman
2002 (9th),Nicolas Cage ,Adaptation.,Charlie Kaufman / Donald Kaufman
2002 (9th),Richard Gere,Chicago,Billy Flynn
2002 (9th),Jack Nicholson ,About Schmidt,Warren Schmidt
2003 (10th),Johnny Depp ,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Jack Sparrow
2003 (10th),Peter Dinklage,The Station Agent,Finbar McBride
2003 (10th),Ben Kingsley ,House of Sand and Fog,Colonel Massoud Amir Behrani
2003 (10th),Bill Murray ,Lost in Translation,Bob Harris
2003 (10th),Sean Penn ,Mystic River,James “Jimmy” Markum
2004 (11th),Jamie Foxx ,Ray,Ray Charles
2004 (11th),Don Cheadle ,Hotel Rwanda,Paul Rusesabagina
2004 (11th),Johnny Depp ,Finding Neverland,J. M. Barrie
2004 (11th),Leonardo DiCaprio ,The Aviator,Howard Hughes
2004 (11th),Paul Giamatti,Sideways,Miles Raymond
2005 (12th),Philip Seymour Hoffman ,Capote,Truman Capote
2005 (12th),Russell Crowe,Cinderella Man,Jim Braddock
2005 (12th),Heath Ledger ,Brokeback Mountain,Ennis Del Mar
2005 (12th),Joaquin Phoenix ,Walk the Line,Johnny Cash
2005 (12th),David Strathairn ,"Good Night, and Good Luck.",Edward R. Murrow
2006 (13th),Forest Whitaker ,The Last King of Scotland,Idi Amin
2006 (13th),Leonardo DiCaprio ,Blood Diamond,Danny Archer
2006 (13th),Ryan Gosling ,Half Nelson,Dan Dunne
2006 (13th),Peter O'Toole ,Venus,Maurice Russell
2006 (13th),Will Smith ,The Pursuit of Happyness,Chris Gardner
2007 (14th),Daniel Day-Lewis ,There Will Be Blood,Daniel Plainview
2007 (14th),George Clooney ,Michael Clayton,Michael Clayton
2007 (14th),Ryan Gosling,Lars and the Real Girl,Lars Lindstrom
2007 (14th),Emile Hirsch,Into the Wild,Christopher McCandless
